Live,#genre#
狼谷育樂,rtmp://104.149.141.122/channel/61002279f0618408855f36f1
Eleven Sports2,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910d62
愛爾達體育1,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910cb4
博斯運動一台,rtmp://104.149.141.122/channel/610a2b8503524b0155f2346a
EYE旅遊台,rtmp://104.149.141.122/channel/60b4e50239e1b02e8b910cf8
緯來日本,rtmp://45.92.126.114/channel/60c312ed961593122ebaf8f3
國興衛視,rtmp://104.149.130.142/channel/60c31c32961593122ebaf929
ChannelV,rtmp://104.149.141.122/channel/60b4e50239e1b02e8b910ce6
亞洲旅遊,rtmp://104.149.141.122/channel/60b4e50239e1b02e8b910d0e
CNN,rtmp://104.149.141.122/channel/60b4e50239e1b02e8b910c6e
愛爾達體育2,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910cb6
愛爾達綜合,rtmp://104.149.131.118/channel/60b4e50239e1b02e8b910d46
靖天綜合,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910d50
EVE探索家庭,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910cf4
寰宇新聞,rtmp://104.149.130.142/channel/60b4e50239e1b02e8b910d08
寰宇新聞二台,rtmp://104.149.130.142/channel/60b4e50239e1b02e8b910d26
BBC World News,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910d42
愛爾達體育3,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910cb8
香港有線新聞,rtmp://45.88.148.122/channel/60c2d2bd961593122ebaf8b7
新加坡亞洲新聞,rtmp://45.88.148.178/channel/60c2f49c961593122ebaf8cd
卡達半島,rtmp://45.88.148.178/channel/60c2f52d961593122ebaf8d2
TV-5,rtmp://45.88.148.178/channel/60c2f5bb961593122ebaf8d4
DW-TV,rtmp://45.88.148.178/channel/60c2f625961593122ebaf8d6
TV5 Monde,rtmp://104.149.141.122/channel/60c30e75961593122ebaf8ed
sky-news,rtmp://104.149.130.142/channel/60c31287961593122ebaf8ef
三立綜合台,rtmp://45.88.148.122/channel/60b4e50239e1b02e8b910d28
三立戲劇台,rtmp://45.88.148.122/channel/60b4e50239e1b02e8b910d30
靖天資訊,rtmp://45.12.113.194/channel/60b4e50239e1b02e8b910d5a
歐洲新聞,rtmp://45.92.126.226/channel/61002dbef0618408855f370f
靖洋戲劇台,rtmp://104.149.131.118/channel/60b4e50239e1b02e8b910d1a
