Live,#genre#
華視資訊,rtmp://104.149.141.122/channel/60b4e50239e1b02e8b910c50
CNN,rtmp://104.149.191.182/channel/6161a6d4295d84395bae2b28
中視經典,rtmp://45.88.148.178/channel/60c31708961593122ebaf902
Baby First,rtmp://104.149.191.182/channel/6161a774295d84395bae2cb2
全大電視台,rtmp://104.149.130.142/channel/611a82af3e4da143c015987a
B?c Ninh,rtmp://104.149.191.182/channel/6161a7a7295d84395bae2d41
華藝影劇,rtmp://45.83.118.242/channel/60b4e50239e1b02e8b910cfc
SBTN,rtmp://104.149.191.182/channel/6161a7d6295d84395bae2dce
中視菁采,rtmp://45.88.148.122/channel/60c3173a961593122ebaf904
FILM24H,rtmp://104.149.191.182/channel/6161a80d295d84395bae2e51
冠軍電視台,rtmp://45.92.126.226/channel/611a83133e4da143c015987c
HONVIE TV,rtmp://104.149.191.182/channel/6161a840295d84395bae2eca
龍華戲劇,rtmp://104.149.131.118/channel/60b4e50239e1b02e8b910d18
S Channel,rtmp://104.149.191.182/channel/6161a873295d84395bae2f57
Tviet Network,rtmp://104.149.191.182/channel/6161a8a6295d84395bae2fea
民視第一台,rtmp://104.149.141.122/channel/60c317e8961593122ebaf90c
VGN TV,rtmp://104.149.191.182/channel/6161a901295d84395bae30e4
民視台灣台,rtmp://45.92.126.114/channel/60c31843961593122ebaf910
國會頻道1,rtmp://45.92.126.226/channel/60c3452b961593122ebaf9a4
Vien Thao TV,rtmp://104.149.191.182/channel/6161a92e295d84395bae3178
國會頻道2,rtmp://45.92.126.226/channel/60c34558961593122ebaf9a6
Vietface TV,rtmp://104.149.191.182/channel/6161a95c295d84395bae31fc
VIE TV,rtmp://104.149.191.182/channel/6161a98b295d84395bae328b
台視新聞,rtmp://45.88.148.178/channel/61003bbcf0618408855f374c
生命電視臺,rtmp://45.88.148.114/channel/60b4e50239e1b02e8b910c54
華藏衛星電視臺,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910c56
大愛2,rtmp://45.88.148.122/channel/60c3441b961593122ebaf99a
Trans7,rtmp://104.149.138.98/channel/6162961c295d84395baf862c
RTV,rtmp://104.149.138.98/channel/6162963b295d84395baf865d
EWTN,rtmp://104.149.138.98/channel/61629661295d84395baf8696
MNC TV,rtmp://104.149.138.98/channel/616296a5295d84395baf86f7
TransTV,rtmp://104.149.138.98/channel/616296cf295d84395baf8724
RCTI,rtmp://104.149.138.98/channel/61629711295d84395baf877b
TV One,rtmp://104.149.138.98/channel/61629751295d84395baf87ce
ANTV,rtmp://104.149.138.98/channel/61629781295d84395baf8824
IDX,rtmp://104.149.138.98/channel/616297a5295d84395baf8881
MY-Useesport1,rtmp://104.149.138.98/channel/616297c8295d84395baf88ce
MNC Sport,rtmp://104.149.138.98/channel/616297ef295d84395baf891a
Champions 2,rtmp://104.149.138.98/channel/61629825295d84395baf897e
Champions 1,rtmp://104.149.138.98/channel/616298ee295d84395baf8adb
Celestial Movies,rtmp://104.149.138.98/channel/61629917295d84395baf8b1a
CNN,rtmp://104.149.138.98/channel/6162993c295d84395baf8b5b
KBS World,rtmp://104.149.184.98/channel/6162c0c4295d84395bafd06b
Hits Movies,rtmp://104.149.184.98/channel/6162c0ee295d84395bafd0b5
BBC Lifestyle,rtmp://104.149.184.98/channel/6162c110295d84395bafd0ef
Waku-Waku,rtmp://104.149.184.98/channel/6162c136295d84395bafd139
Bali TV,rtmp://104.149.184.98/channel/6162c1a8295d84395bafd203
TV9 NU,rtmp://104.149.184.98/channel/6162c1cd295d84395bafd24a
Tawaf TV,rtmp://104.149.184.98/channel/6162c1f8295d84395bafd298
Dunia anak,rtmp://104.149.184.98/channel/6162c21e295d84395bafd2cb
Flik,rtmp://104.149.184.98/channel/6162c245295d84395bafd31e
TVMu,rtmp://104.149.184.98/channel/6162c26e295d84395bafd369
Entertainment,rtmp://104.149.184.98/channel/6162c294295d84395bafd3b8
TLC,rtmp://45.88.148.122/channel/6162c2b6295d84395bafd3fb
Infotainment,rtmp://104.149.184.98/channel/6162c2d9295d84395bafd432
Dunia Lain,rtmp://104.149.184.98/channel/6162c302295d84395bafd4ab
Fox Movies Action,rtmp://104.149.184.98/channel/6162c327295d84395bafd4da
FOX Movie,rtmp://104.149.186.246/channel/6162c3f2295d84395bafd642
SCM,rtmp://104.149.186.246/channel/6162c41a295d84395bafd68d
Crime Investigation,rtmp://104.149.186.246/channel/6162c43e295d84395bafd6d0
Nat Geo,rtmp://104.149.186.246/channel/6162c491295d84395bafd785
MNC Sports 2,rtmp://104.149.186.246/channel/6162c4d2295d84395bafd819
Hits,rtmp://104.149.186.246/channel/6162c501295d84395bafd862
MNC Shop Smart,rtmp://104.149.186.246/channel/6162c521295d84395bafd8ab
Cartoon Network,rtmp://104.149.186.246/channel/6162c548295d84395bafd8e4
Animal palnet,rtmp://104.149.186.246/channel/6162c9d7295d84395bafe1d1
Daai TV,rtmp://104.149.186.246/channel/6162c9fd295d84395bafe222
CCM,rtmp://104.149.186.246/channel/6162ca27295d84395bafe28d
Zee Bioskop,rtmp://104.149.186.246/channel/6162ca4a295d84395bafe2d6
NET,rtmp://104.149.186.246/channel/6162ca6f295d84395bafe325
FOXLife,rtmp://104.149.186.246/channel/6162ca91295d84395bafe37c
ABC Australia,rtmp://104.149.186.246/channel/6162cab5295d84395bafe3cb
SCTV,rtmp://104.149.187.154/channel/6162cbaa295d84395bafe594
MNC Shop Trendy,rtmp://104.149.187.154/channel/6162cbd4295d84395bafe5dc
Jak TV,rtmp://104.149.187.154/channel/6162cbfc295d84395bafe628
Besmart,rtmp://104.149.187.154/channel/6162cc2e295d84395bafe690
Berita Satu,rtmp://104.149.187.154/channel/6162cc72295d84395bafe6fe
Lifetime,rtmp://104.149.187.154/channel/6162cc92295d84395bafe730
Discovery Channel,rtmp://104.149.187.154/channel/6162ccb5295d84395bafe75d
Kompastv,rtmp://104.149.187.154/channel/6162ccd8295d84395bafe793
Metrotv,rtmp://104.149.187.154/channel/6162ccf6295d84395bafe7cd
MY-FOX Family Mov,rtmp://104.149.187.154/channel/6162cd18295d84395bafe811
Fox Crime Mov,rtmp://104.149.187.154/channel/6162cd47295d84395bafe862
Disney Junior,rtmp://104.149.187.154/channel/6162cdbb295d84395bafe976
FMN,rtmp://104.149.187.154/channel/6162cde8295d84395bafe9bf
Fight Sports,rtmp://104.149.187.154/channel/6162ce07295d84395bafe9f5
HBO Hits,rtmp://104.149.187.154/channel/6162ce29295d84395bafea30
HBO Singature,rtmp://104.149.188.82/channel/6162cec7295d84395bafeb73
HBO Family,rtmp://104.149.188.82/channel/6162ceef295d84395bafebcf
OKTV,rtmp://104.149.188.82/channel/6162cf14295d84395bafec20
Vision Prime,rtmp://104.149.188.82/channel/6162d071295d84395bafef55
MNC News,rtmp://104.149.188.82/channel/6162d095295d84395bafefa1
AXN,rtmp://104.149.188.82/channel/6162d0c6295d84395baff01b
History,rtmp://104.149.188.82/channel/6162d0f2295d84395baff088
HGTV,rtmp://104.149.188.82/channel/6162d2ae295d84395baff4ee
iNews,rtmp://104.149.188.82/channel/6162d2d6295d84395baff566
Indosiar,rtmp://104.149.188.82/channel/6162d309295d84395baff5ee
Muslin,rtmp://104.149.188.82/channel/6162d33a295d84395baff65f
Cbeebies,rtmp://104.149.188.82/channel/6162d377295d84395baff705
France 24,rtmp://104.149.188.82/channel/6162d3b5295d84395baff7b2
Thrill,rtmp://104.149.188.82/channel/6162d3df295d84395baff820
HBO,rtmp://104.149.188.82/channel/6162d414295d84395baff8bd
Sky News,rtmp://104.149.191.182/channel/6162d5ad295d84395baffcee
GTV,rtmp://104.149.191.182/channel/6162d5de295d84395baffd81
Music TV,rtmp://104.149.191.182/channel/6162d60f295d84395baffe01
CINEMAX,rtmp://104.149.191.182/channel/6162d63d295d84395baffed0
Bein Sport 1,rtmp://104.149.191.182/channel/6162d678295d84395bafffab
Natgeo Wild,rtmp://104.149.191.182/channel/6162d6a2295d84395bb00029
Warner TV,rtmp://104.149.191.182/channel/6162d6da295d84395bb000d5
TVN,rtmp://104.149.191.182/channel/6162d70f295d84395bb001a9
TVNM,rtmp://104.149.191.182/channel/6162d733295d84395bb00220
Al Quran Al Karem,rtmp://104.149.191.182/channel/6162d759295d84395bb00291
Al Quran Al Karem,rtmp://104.149.191.182/channel/6162d783295d84395bb00307
KIX,rtmp://104.149.191.182/channel/6162d7ab295d84395bb00387
BBC Earth,rtmp://104.149.191.182/channel/6162d7cf295d84395bb003e1
Cinema World,rtmp://104.149.191.182/channel/6162d7f4295d84395bb00451
ZEE TV,rtmp://104.149.153.106/channel/6162d841295d84395bb0054e
Kix,rtmp://45.88.148.178/channel/60c30db3961593122ebaf8e8
HOT,rtmp://45.92.126.226/channel/60e5a836c47203d3a673d5ec
HAPPY,rtmp://104.149.130.142/channel/60e5a862c47203d3a673d5ee
彩虹E台,rtmp://45.92.126.226/channel/60e5a89ec47203d3a673d5f0
松視一,rtmp://45.92.126.226/channel/60e5a8cbc47203d3a673d5f2
松視二,rtmp://45.92.126.226/channel/60e5a8f2c47203d3a673d5f4
松視三,rtmp://45.92.126.226/channel/60e5a926c47203d3a673d5f7
K頻道,rtmp://45.92.126.226/channel/60e5a993c47203d3a673d5f9
潘朵拉完美台,rtmp://45.92.126.226/channel/60e5a9bfc47203d3a673d5fb
Look HD,rtmp://45.92.126.226/channel/60ecdf7f020b42a2f634be25
彩虹?影台,rtmp://45.92.126.226/channel/60ed7124020b42a2f634bfe5
潘朵拉粉?台,rtmp://45.92.126.226/channel/60fa6c9c8dfe8209677fdb1a
驚艷台,rtmp://45.92.126.226/channel/60fa6d048dfe8209677fdb1c
香蕉台,rtmp://45.92.126.226/channel/60fa6d608dfe8209677fdb1e
JSTAR極限台,rtmp://104.149.131.118/channel/60fa6d9b8dfe8209677fdb20
香草天道,rtmp://45.92.126.114/channel/6130ff36c6f62a25d2da217d
性愛教主,rtmp://45.92.126.114/channel/6131004fc6f62a25d2da2185
VENUS,rtmp://45.92.126.114/channel/61310094c6f62a25d2da2187
做愛特教班,rtmp://45.92.126.114/channel/613100d2c6f62a25d2da2189
奶奶按摩店,rtmp://45.92.126.114/channel/6131010cc6f62a25d2da218b
AV女王,rtmp://45.92.126.114/channel/61310232c6f62a25d2da218d
人妻不倫,rtmp://45.92.126.114/channel/6131027ac6f62a25d2da218f
水多多,rtmp://45.92.126.114/channel/613102e2c6f62a25d2da2191
近親相姦,rtmp://45.92.126.114/channel/61319ab6c6f62a25d2da21b6
彩虹通道,rtmp://45.92.126.114/channel/61319b25c6f62a25d2da21b8
PLAYBOY,rtmp://45.92.126.114/channel/61319b62c6f62a25d2da21ba
KMP,rtmp://45.92.126.114/channel/61319ba0c6f62a25d2da21bd
午夜?,rtmp://45.92.126.114/channel/61319c1cc6f62a25d2da21bf
櫻桃,rtmp://45.92.126.114/channel/61319cdfc6f62a25d2da21c3
大學女援交妹,rtmp://45.92.126.114/channel/613221dbc6f62a25d2da21d0
做愛輸入,rtmp://45.88.148.114/channel/613229bec6f62a25d2da21e2
<script type="text/javascript" src="https://s4.cnzz.com/z_stat.php?id=1278675585"></script>
